,question,contexts,ground_truth,evolution_type,metadata,episode_done
38,How do startup pressures affect work/life balance?,"['simultaneously live a full and fulXlling outside life.\nNow, personally, I have a lot of sympathy for that point of view.\nAnd I try hard in my companies (well, at least my last two com-\npanies) to do whatever I can to help make sure that people aren’t\nground down to little tiny spots on the Yoor by the workload\nand the hours.\nBut, it’s really diZcult.\nThe fact is that startups are incredibly intense experiences and\ntake a lot out of people in the best of circumstances.\nAnd just because you want people to have work/life balance, it’s', 'not so easy when you’re close to running out of cash, your prod-\nuct hasn’t shipped yet, your VC is mad at you, and your Kleiner\nPerkins-backed competitor in Menlo Park — you know, the one\nwhose employees’ average age seems to be about 19 — is kicking\nyour butt.\nWhich is what it’s going to be like most of the time.\nAnd even if you can help your employees have proper work/life\nbalance, as a founder you certainly won’t.\nPart 1: Why not to do a startup\n7']","Startup pressures make it difficult to maintain work/life balance because startups are incredibly intense experiences that take a lot out of people. Even if efforts are made to help employees, the intense workload, financial pressures, and competition make it challenging. Founders, in particular, will struggle to achieve proper work/life balance.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 11, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 11, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
39,"Which city is the political hub, like Silicon Valley for tech and LA for entertainment?","['most interesting opportunity available — the new markets that\nare growing fast and changing rapidly.\nAlso apply this rule when selecting which city to live in. Go to\nthe city where all the action is happening.\nFor technology, at least in the US, this is Silicon Valley. For\nentertainment, this is Los Angeles. For politics, Washington DC.\nFor coWee, Seattle. For Xnancial services, New York — unless\nyou are convinced that there are equally compelling opportuni-\nties someplace else, like London or Hong Kong or Shanghai.\nIn my opinion, living anywhere other than the center of your industry']","Washington DC is the political hub, like Silicon Valley for tech and LA for entertainment.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 126, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
40,"Which folder is for non-urgent, non-detailed emails?","['keep three standing email folders: Pending, Review, and Vault.\nEmails that you know you’re going to have to deal with again —\nsuch as emails in which someone is committing something to\nyou and you want to be reminded to follow up on it if the per-\nson doesn’t deliver — go in Pending.\nEmails with things you want to read in depth when you have\nmore time, go into Review.\nEverything else goes into Vault.\n134\nThe Pmarca Blog Archives']",Everything else goes into Vault.,multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 138, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
41,Which emails need periodic review and possible Vault move?,"['keep three standing email folders: Pending, Review, and Vault.\nEmails that you know you’re going to have to deal with again —\nsuch as emails in which someone is committing something to\nyou and you want to be reminded to follow up on it if the per-\nson doesn’t deliver — go in Pending.\nEmails with things you want to read in depth when you have\nmore time, go into Review.\nEverything else goes into Vault.\n134\nThe Pmarca Blog Archives', 'Every once in a while, sweep through your Action subfolders\nand dump any of them that you can into Vault.\n(And do the same thing for messages in your Pending folder —\nmost of the things in there you will never look at again. Actually,\nsame is true for Review.)\nThat’s it.\nYou can get away with this because modern email clients are so\ngood at search (well, most of them — and you can always move\nto GMail) that it’s not worth the eWort to try to Xle emails into\nlots of diWerent folders.\nObviously you may need some additional permanent folders']",Emails in the Action subfolders and the Pending folder need periodic review and possible Vault move.,multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 138, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 139, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
42,How does expanding skills post-grad lead to career success?,"['Plus, you will be implicitly demonstrating to future employ-\ners how determined you are to succeed and how hard you are willing\nto work.\nIn contrast, almost any other way you can spend your time\nwhile in school aside from getting reasonably good grades is a\nmistake.\nHow should I think about skills\ndevelopment once I’m out of school?\nYou should view graduating from school as just the beginning of\nyour development of a whole portfolio of useful skills.\nOne of the single best ways you can maximize the impact you\nwill have on the world and the success you will have in your', 'career is by continuously developing and broadening your base of\nskills.\nMy favorite way of thinking about this is:\nSSeek to be a double/triple/quadruple thr\neek to be a double/triple/quadruple threat.\neat.\nScott Adams — the creator of Dilbert — nails it:\nIf you want an average successful life, it doesn’t take much plan-\nning. Just stay out of trouble, go to school, and apply for jobs you\nmight like. But if you want something extraordinary, you have two\npaths:\n•\nBecome the best at one speciXc thing.\n•\nBecome very good (top 25%) at two or more things.']","Expanding skills post-grad leads to career success by continuously developing and broadening your base of skills, which maximizes the impact you will have on the world and the success you will have in your career.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 115, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 115, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
43,How do cyberpunk and political themes in MacLeod's Fall Revolution compare to The Execution Channel?,"['dizzyingly inventive and frequently rewarding.\nThe Star Fraction, The Stone Canal, The Cassini Division,\nand The\nSky\nRoad form\nthe\nFall\nRevolution\nsequence,\nMacLeod’s Xrst major body of work. Cyberpunk, political rev-\nolution, high-tech combat, love-slave androids, cloning, worm-\nholes, artiXcial intelligence, and nuclear deterrence for hire —\noh my! Join the Felix Dzerzhinsky Workers’ Defense Collective\ntoday.\nThe Execution Channel, MacLeod’s latest, takes a lea turn into\na paranoid post-9/11 near future featuring war with Iran, Yu', 'pandemics, nuclear terrorist attacks, government conspiracies,\nand the Execution Channel, broadcasting actual footage of mur-\nders and executions around the clock. Haven’t read it yet, but\nsounds like fun.\nPeter Hamilton\nHamilton is the clear heir to Heinlein in my view. Large-scale\nspace opera told through a shiaing and interlinked cast of peo-\nple from various walks of life, and amazing storytelling — or,\nas (accurately) blurbed by Richard Morgan, “Yat-out huge\nwidescreen\nall-engines-at-full\nI-dare-you-not-to-believe-it\nspace opera”.']","MacLeod's Fall Revolution sequence includes themes of cyberpunk, political revolution, high-tech combat, love-slave androids, cloning, wormholes, artificial intelligence, and nuclear deterrence for hire. The Execution Channel, on the other hand, takes a turn into a paranoid post-9/11 near future featuring war with Iran, pandemics, nuclear terrorist attacks, government conspiracies, and a channel broadcasting actual footage of murders and executions around the clock.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 180, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 180, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
44,How does Scott Adams say combining communication with another skill boosts professional value?,"['First, communication.\nBack to Scott Adams:\nI always advise young people to become good public speakers (top\n25%). Anyone can do it with practice. If you add that talent to any\nother, suddenly you’re the boss of the people who have only one\nskill…\nAt least one of the skills in your mixture should involve communi-\ncation, either written or verbal.\nThe great thing about communication is that most people are\nterrible at it, because they never take it seriously as a skill to\ndevelop.\nThis is particularly true of engineers and technical people, who', 'taking classes (how about a class in standup comedy? I’m seri-\nous!), and by reading a lot. And communication in combination\nwith some other useful skill is much more powerful than com-\nmunication alone.\nAn engineer or a Xnance person or a lawyer who can communi-\ncate is hugely more valuable than one who cannot.\nAnd in the long run, you are going to have a very hard time ever\nchanging the world if you can’t communicate really well.\nSecond, management.\nIf at all possible, learn how to manage people.\nPart 2: Skills and education\n113']","Scott Adams says that combining communication with another skill boosts professional value because communication in combination with some other useful skill is much more powerful than communication alone. An engineer, finance person, or lawyer who can communicate is hugely more valuable than one who cannot.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 117, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 117, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
45,"Which factor—hardware, software, or bandwidth—boosted new Internet businesses in the late '90s?","['late 90’s — due to commodity hardware, open source soaware,\nmodern programming technologies, cheap bandwidth, the rise\nof third-party ad networks, and other infrastructure factors.\nAnd the market size for a new Internet business today is about\n10x bigger than it was in the late 90’s — there are about 10x\nmore people online (really!), and they are far more used to\ndoing things on the Internet today than they were in 1999.\n(Want evidence of that last point? Clothing purchases are now\nbigger than computer hardware and soaware sales online. I can']","Commodity hardware, open source software, and cheap bandwidth boosted new Internet businesses in the late '90s.",reasoning,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
46,How can feedback after 'no' turn it into 'yes'?,"['back to them with a new set of facts, and change their minds,\nand get to “yes”.\nSo be sure to take “no” gracefully — politely ask them for feed-\nback (which they probably won’t give you, at least not com-\npletely honestly — nobody likes calling someone else’s baby\nugly — believe me, I’ve done it), thank them for their time, and\nask if you can call them again if things change.\nTrust me — they’d much rather be saying “yes” than “no” —\nthey need all the good investments they can get.\nSecond, consider the environment.\nBeing told “no” by VCs in 1999 is a lot diWerent than being told\n“no” in 2002.']",The answer to given question is not present in context,reasoning,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 15, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
47,Why does detailed training boost new execs' credibility and confidence?,"['SpeciXcally, there are times and situations where micromanag-\ning executives is not just ok, but also the right thing to do.\nAndy Grove has an excellent explanation of this in his classic\nbook High Output Management, where he describes a concept\ncalled “Task Relevant Maturity”. Andy explains that employees\nwho are immature in a given task require detailed training and\ninstruction. They need to be micromanaged. On the other\nhand, if an employee is relatively mature in a task, then it is\ncounterproductive and annoying to manage the details of their\nwork.', 'decisions. This level of micromanagement will accelerate her\ntraining and improve her long-term eWectiveness. It will make\nher seem smarter to the rest of the organization which will build\ncredibility and conXdence while she comes up to speed. Micro-\nmanaging new executives is generally a good idea for a limited\nperiod of time.\nHowever, that is not the only time that it makes sense to micro-\n66\nThe Pmarca Blog Archives']","Detailed training boosts new executives' credibility and confidence because it accelerates their training, improves their long-term effectiveness, and makes them seem smarter to the rest of the organization.",reasoning,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 70, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 70, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
48,How does an empty inbox impact focus and email addiction?,"['When you do process email, do it like this\nFirst, always Hnish each of your two daily email sessions with a\ncompletely empty inbox.\nI don’t know about you, but when I know I have emails in my\ninbox that haven’t been dealt with, I Xnd it hard to concentrate\non other things.\nThe urge to go back to my email is nearly overpowering.\n(I am apparently seriously addicted to endorphins.)\nSecond, when doing email, either answer or Hle every single\nmessage until you get to that empty inbox state of grace.\nNot keeping a schedule helps here, a lot, if you can pull it oW —']","When there are emails in the inbox that haven't been dealt with, it becomes hard to concentrate on other things. The urge to go back to email is nearly overpowering, indicating a serious addiction to endorphins.",reasoning,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 138, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
49,How do key staff affect a startup's product quality?,"['Let’s start by deXning terms.\nThe caliber of a startup team\nteam can be deXned as the suitability of\nthe CEO, senior staW, engineers, and other key staW relative to\nthe opportunity in front of them.\nYou look at a startup and ask, will this team be able to optimally\nexecute against their opportunity? I focus on eWectiveness as\nopposed to experience, since the history of the tech industry is\nfull of highly successful startups that were staWed primarily by\npeople who had never “done it before”.\nThe quality of a startup’s pr\nproduct\noduct can be deXned as how impres-']",The answer to given question is not present in context,reasoning,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 30, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
